4,5,-1
7,8,-1
10,11,-1
13,14,-1
16,17,-1
16,18,-1
20,17,-1
20,21,-1
19,20,-1
16,19,-1
15,16,-1
22,18,-1
24,25,-1
24,15,-1
23,24,-1
22,23,-1
15,22,-1
13,15,-1
12,13,-1
26,27,-1
26,15,-1
12,26,-1
10,12,-1
9,10,-1
28,29,-1
28,12,-1
9,28,-1
7,9,-1
6,7,-1
4,6,-1
33,19,-1
35,17,-1
35,36,-1
35,37,-1
35,19,-1
34,35,-1
33,34,-1
32,33,-1
31,32,-1
30,31,-1
40,19,-1
42,17,-1
42,43,-1
42,44,-1
42,19,-1
41,42,-1
40,41,-1
39,40,-1
38,39,-1
30,38,-1
47,19,-1
49,17,-1
49,50,-1
49,51,-1
49,19,-1
48,49,-1
47,48,-1
46,47,-1
45,46,-1
30,45,-1
4,30,-1
3,4,-1
2,3,-1
1,2,-1
