2,3,-1
2,4,-1
2,5,-1
2,6,-1
14,15,-1
14,16,-1
14,17,-1
21,15,-1
21,17,-1
21,22,-1
24,25,-1
23,24,-1
21,23,-1
20,21,-1
26,27,-1
26,28,-1
26,22,-1
26,23,-1
20,26,-1
19,20,-1
18,19,-1
14,18,-1
13,14,-1
29,15,-1
29,16,-1
29,17,-1
33,15,-1
33,17,-1
33,34,-1
36,37,-1
35,36,-1
33,35,-1
32,33,-1
38,15,-1
38,17,-1
38,22,-1
40,41,-1
39,40,-1
38,39,-1
32,38,-1
42,27,-1
42,28,-1
42,34,-1
42,35,-1
32,42,-1
43,27,-1
43,28,-1
43,22,-1
43,39,-1
32,43,-1
31,32,-1
30,31,-1
29,30,-1
13,29,-1
44,27,-1
44,16,-1
44,28,-1
44,18,-1
13,44,-1
45,27,-1
45,16,-1
45,28,-1
45,30,-1
13,45,-1
12,13,-1
12,28,-1
11,12,-1
46,13,-1
46,17,-1
11,46,-1
10,11,-1
10,39,-1
9,10,-1
8,9,-1
8,47,-1
7,8,-1
2,7,-1
1,2,-1
